shipment_id,origin_city,origin_state,origin_latitude,origin_longitude,destination_city,destination_state,destination_latitude,destination_longitude,distance_miles,estimated_travel_time_hours,weight_lbs,volume_cu_ft,driver_id,fuel_cost_usd,toll_cost_usd
SHP00058,Phoenix,AZ,33.448376,-112.074037,Nashville,TN,36.162664,-86.781601,1553.86,36.34,6760,1916,DRV007,1195.27,20.2
SHP00059,Atlanta,GA,33.748995,-84.387982,Austin,TX,30.267153,-97.743061,780.73,17.21,37480,419,DRV125,547.73,45.65
SHP00060,Baltimore,MD,39.290385,-76.612189,Portland,OR,45.515232,-122.678447,2600.14,57.6,21980,2858,DRV037,1907.47,34.16
SHP00061,Denver,CO,39.739235,-104.990251,Omaha,NE,41.256537,-95.997988,465.99,10.3,27370,1091,DRV179,347.33,14.77
SHP00062,Salt Lake City,UT,40.760779,-111.891047,Fort Worth,TX,32.755489,-97.330766,999.55,23.35,44293,3662,DRV110,657.35,15.26
SHP00063,Fresno,CA,36.737798,-119.787125,Kansas City,MO,39.099728,-94.578567,1347.2,30.76,76317,2040,DRV068,857.09,6.99
SHP00064,Orlando,FL,28.538336,-81.379234,Washington,DC,38.907192,-77.036871,855.71,19.79,56509,2215,DRV002,565.92,45.12
SHP00065,Las Vegas,NV,36.169941,-115.13983,Albuquerque,NM,35.084385,-106.650422,495.91,11.06,33472,765,DRV001,376.91,17.11
SHP00066,Sacramento,CA,38.581572,-121.4944,Mesa,AZ,33.415184,-111.831472,725.6,14.85,25407,457,DRV123,497.73,20.33
SHP00067,Albuquerque,NM,35.084385,-106.650422,Orlando,FL,28.538336,-81.379234,1750.84,39.55,74597,441,DRV172,1115.55,50
SHP00068,Houston,TX,29.760427,-95.369803,Mesa,AZ,33.415184,-111.831472,1076.89,22.95,73657,1130,DRV011,801.9,41.97
SHP00069,Baltimore,MD,39.290385,-76.612189,Seattle,WA,47.606209,-122.332071,2338.72,48.77,10992,3418,DRV025,1702.8,35.61
SHP00070,El Paso,TX,31.761857,-106.485022,Charlotte,NC,35.227085,-80.843124,1715.64,39.23,38463,923,DRV190,1136.6,10.59
SHP00071,Austin,TX,30.267153,-97.743061,San Francisco,CA,37.774929,-122.419416,1438.8,31.27,11907,3088,DRV119,1092.91,3.74
SHP00072,Houston,TX,29.760427,-95.369803,Philadelphia,PA,39.952583,-75.165222,1448.31,31.98,76424,3776,DRV138,1047.93,47.78
SHP00073,Orlando,FL,28.538336,-81.379234,Atlanta,GA,33.748995,-84.387982,390.26,8.09,4376,1665,DRV158,279.11,24.3
SHP00074,Boston,MA,42.360082,-71.05888,Albuquerque,NM,35.084385,-106.650422,1990.46,43.48,53437,2016,DRV115,1281.82,34.14
SHP00075,Los Angeles,CA,34.052235,-118.243683,Washington,DC,38.907192,-77.036871,2225.04,45.5,53751,3548,DRV082,1577.68,25.75
SHP00076,Chicago,IL,41.878113,-87.629799,Boston,MA,42.360082,-71.05888,909.94,19.73,27596,256,DRV008,622.16,27.45
SHP00077,Baltimore,MD,39.290385,-76.612189,Tucson,AZ,32.221743,-110.926479,2029.18,42.61,42906,2641,DRV027,1423.83,35.35
SHP00078,Houston,TX,29.760427,-95.369803,Boston,MA,42.360082,-71.05888,1575.67,34.37,44488,2058,DRV069,1127.93,43.2
SHP00079,Sacramento,CA,38.581572,-121.4944,Las Vegas,NV,36.169941,-115.13983,395.47,9.3,15470,3788,DRV168,253.97,45.97
SHP00080,New York,NY,40.712776,-74.005974,Omaha,NE,41.256537,-95.997988,1099.23,22.19,29471,3849,DRV045,700.76,48.5
SHP00081,Detroit,MI,42.331429,-83.045753,Memphis,TN,35.149534,-90.04898,595.4,12.63,30227,3463,DRV111,447.29,45.05
SHP00082,Fort Worth,TX,32.755489,-97.330766,Atlanta,GA,33.748995,-84.387982,820.96,18.13,9412,456,DRV039,578.58,8.3
SHP00083,Fresno,CA,36.737798,-119.787125,Raleigh,NC,35.779589,-78.638179,2585.1,54.62,13487,682,DRV149,1987.4,18.85
SHP00084,San Antonio,TX,29.424122,-98.493628,Columbus,OH,39.961176,-82.998794,1100.57,25.28,60385,2370,DRV117,776.26,46.26
SHP00085,Austin,TX,30.267153,-97.743061,Denver,CO,39.739235,-104.990251,823.64,18.92,34942,3710,DRV195,631.53,24.51
SHP00086,Phoenix,AZ,33.448376,-112.074037,Columbus,OH,39.961176,-82.998794,1764.72,36.86,36307,1201,DRV024,1320.91,19.94
SHP00087,San Francisco,CA,37.774929,-122.419416,Omaha,NE,41.256537,-95.997988,1595.22,32.7,1957,3242,DRV065,1022.47,0.72
SHP00088,Omaha,NE,41.256537,-95.997988,Indianapolis,IN,39.768402,-86.158068,553.81,12.61,22091,429,DRV122,374.24,15.82
SHP00089,Columbus,OH,39.961176,-82.998794,Albuquerque,NM,35.084385,-106.650422,1411.72,28.56,57445,2725,DRV055,915.4,3.24
SHP00090,Louisville,KY,38.252665,-85.758456,Washington,DC,38.907192,-77.036871,538.76,11,37933,2581,DRV127,369.05,38.36
SHP00091,Colorado Springs,CO,38.833882,-104.821363,Fresno,CA,36.737798,-119.787125,929.19,20.79,25607,3219,DRV054,684.35,19.15
SHP00092,Albuquerque,NM,35.084385,-106.650422,Phoenix,AZ,33.448376,-112.074037,334.37,7.64,34454,2309,DRV134,227.07,25.79
SHP00093,Mesa,AZ,33.415184,-111.831472,San Francisco,CA,37.774929,-122.419416,665.58,13.42,10441,1339,DRV041,465.01,14.08
SHP00094,Houston,TX,29.760427,-95.369803,El Paso,TX,31.761857,-106.485022,699.15,14.93,37262,3860,DRV169,538.03,5.15
SHP00095,El Paso,TX,31.761857,-106.485022,Indianapolis,IN,39.768402,-86.158068,1366.1,29.91,11690,3809,DRV061,964.91,22.08
SHP00096,Detroit,MI,42.331429,-83.045753,Charlotte,NC,35.227085,-80.843124,486.48,10.05,65643,1195,DRV062,360.73,3.94
SHP00097,Jacksonville,FL,30.332184,-81.655651,Fort Worth,TX,32.755489,-97.330766,985.05,22.51,71693,1293,DRV053,698.68,21.32
SHP00098,Fresno,CA,36.737798,-119.787125,San Diego,CA,32.715736,-117.161087,307.69,6.51,79714,3791,DRV101,230.21,45.63
SHP00099,Charlotte,NC,35.227085,-80.843124,Baltimore,MD,39.290385,-76.612189,400.01,8.59,71435,1152,DRV161,268.87,38.74
SHP00100,San Diego,CA,32.715736,-117.161087,Memphis,TN,35.149534,-90.04898,1519.01,30.79,57711,2514,DRV003,990.68,42.2
SHP00101,Boston,MA,42.360082,-71.05888,Dallas,TX,32.776664,-96.796988,1595.12,34.24,23416,2848,DRV077,1160.14,44.04
SHP00102,Mesa,AZ,33.415184,-111.831472,New York,NY,40.712776,-74.005974,2345.54,53.29,26330,1306,DRV110,1510.51,13.9
SHP00103,Detroit,MI,42.331429,-83.045753,Chicago,IL,41.878113,-87.629799,263.69,5.47,39953,2684,DRV174,186.94,39.73
SHP00104,Memphis,TN,35.149534,-90.04898,El Paso,TX,31.761857,-106.485022,1004.15,21.07,59611,1080,DRV073,765.02,6.86
SHP00105,Las Vegas,NV,36.169941,-115.13983,Kansas City,MO,39.099728,-94.578567,1152,26.85,44530,3076,DRV069,770.78,11.92
SHP00106,Orlando,FL,28.538336,-81.379234,Mesa,AZ,33.415184,-111.831472,1975.96,42.33,36312,3880,DRV155,1250.26,21.47
SHP00107,Phoenix,AZ,33.448376,-112.074037,Jacksonville,FL,30.332184,-81.655651,2049.76,42.96,72065,3382,DRV022,1379.75,27.01
SHP00108,Kansas City,MO,39.099728,-94.578567,New York,NY,40.712776,-74.005974,1132.6,26.67,40741,1907,DRV195,829.32,16.9
SHP00109,Los Angeles,CA,34.052235,-118.243683,Houston,TX,29.760427,-95.369803,1486.67,29.75,77945,330,DRV071,1011.62,44.05
SHP00110,New York,NY,40.712776,-74.005974,San Jose,CA,37.338208,-121.886329,2461,58.17,14307,3263,DRV171,1675.39,4.97
SHP00111,Miami,FL,25.761681,-80.191788,Baltimore,MD,39.290385,-76.612189,916.53,19.88,31763,2037,DRV015,658.67,35.83
SHP00112,Oklahoma City,OK,35.46756,-97.516428,Louisville,KY,38.252665,-85.758456,683.79,15.48,75485,3466,DRV020,445.95,21.25
SHP00113,Raleigh,NC,35.779589,-78.638179,Dallas,TX,32.776664,-96.796988,1183.74,26.1,33755,473,DRV101,788.52,3.26
SHP00114,Colorado Springs,CO,38.833882,-104.821363,Seattle,WA,47.606209,-122.332071,1117.19,25.77,56383,686,DRV165,825.23,36.05
SHP00115,Colorado Springs,CO,38.833882,-104.821363,Kansas City,MO,39.099728,-94.578567,559.01,11.24,7926,1295,DRV051,410.87,12.9
SHP00116,Kansas City,MO,39.099728,-94.578567,Los Angeles,CA,34.052235,-118.243683,1522.76,35.32,15670,1165,DRV038,1041.14,47.09
SHP00117,Atlanta,GA,33.748995,-84.387982,Nashville,TN,36.162664,-86.781601,223.95,5.01,75047,337,DRV038,154.25,45.83
SHP00118,Long Beach,CA,33.77005,-118.193739,Sacramento,CA,38.581572,-121.4944,386.49,8.46,9009,2419,DRV021,248.24,18
SHP00119,Jacksonville,FL,30.332184,-81.655651,Seattle,WA,47.606209,-122.332071,2503.27,58.58,50768,3377,DRV114,1591.19,14.57
SHP00120,Austin,TX,30.267153,-97.743061,Orlando,FL,28.538336,-81.379234,980.67,21.36,60775,2672,DRV101,753.64,38.14
SHP00121,Salt Lake City,UT,40.760779,-111.891047,Houston,TX,29.760427,-95.369803,1349.61,31.29,41221,1400,DRV034,956.69,20.45
SHP00122,Columbus,OH,39.961176,-82.998794,Milwaukee,WI,43.038902,-87.906474,352.61,7.63,70910,1475,DRV059,222.9,9.25
SHP00123,Detroit,MI,42.331429,-83.045753,Jacksonville,FL,30.332184,-81.655651,923.52,20.74,6933,2902,DRV132,691.22,42.17
SHP00124,Columbus,OH,39.961176,-82.998794,San Jose,CA,37.338208,-121.886329,2272.77,51.5,15833,3457,DRV066,1731.94,35.35
SHP00125,San Francisco,CA,37.774929,-122.419416,Albuquerque,NM,35.084385,-106.650422,982.22,21.21,26055,2226,DRV045,691.73,34.15
SHP00126,Dallas,TX,32.776664,-96.796988,San Jose,CA,37.338208,-121.886329,1634.36,33.33,74672,2731,DRV025,1105,15.11
SHP00127,Nashville,TN,36.162664,-86.781601,Denver,CO,39.739235,-104.990251,1044.74,23.75,46751,3239,DRV029,757.69,7.26
SHP00128,Raleigh,NC,35.779589,-78.638179,Denver,CO,39.739235,-104.990251,1401.24,30.58,79288,2094,DRV104,949.25,22.83
SHP00129,Houston,TX,29.760427,-95.369803,Orlando,FL,28.538336,-81.379234,853.23,17.89,6406,1552,DRV170,648.18,25.14
SHP00130,Jacksonville,FL,30.332184,-81.655651,Omaha,NE,41.256537,-95.997988,1162.02,26.07,7900,339,DRV117,859.04,44.56
SHP00131,San Antonio,TX,29.424122,-98.493628,Oklahoma City,OK,35.46756,-97.516428,430.8,9.17,61592,1375,DRV125,302.03,4.23
SHP00132,Fort Worth,TX,32.755489,-97.330766,San Diego,CA,32.715736,-117.161087,1281.95,29.61,37962,2323,DRV041,886.54,44.05
SHP00133,Tucson,AZ,32.221743,-110.926479,Seattle,WA,47.606209,-122.332071,1371.69,28.91,9356,3111,DRV182,871.07,8.06
SHP00134,Albuquerque,NM,35.084385,-106.650422,Milwaukee,WI,43.038902,-87.906474,1182.96,24.2,16472,1063,DRV088,769.25,49.69
SHP00135,Dallas,TX,32.776664,-96.796988,Kansas City,MO,39.099728,-94.578567,506.29,10.63,33689,3449,DRV145,359.74,33.7
SHP00136,Colorado Springs,CO,38.833882,-104.821363,Phoenix,AZ,33.448376,-112.074037,628.03,13.6,60883,3577,DRV133,409.16,23.75
SHP00137,San Diego,CA,32.715736,-117.161087,Memphis,TN,35.149534,-90.04898,1602.95,33.96,47391,1822,DRV062,1115.39,15.71
SHP00138,Detroit,MI,42.331429,-83.045753,Oklahoma City,OK,35.46756,-97.516428,1017.66,23.13,26863,3949,DRV024,684.05,3.15
SHP00139,Orlando,FL,28.538336,-81.379234,Miami,FL,25.761681,-80.191788,229,4.98,59992,2222,DRV011,169.68,29.08
SHP00140,Long Beach,CA,33.77005,-118.193739,Salt Lake City,UT,40.760779,-111.891047,605.29,13.31,18437,265,DRV062,443.48,21.35
SHP00141,Indianapolis,IN,39.768402,-86.158068,San Francisco,CA,37.774929,-122.419416,2102.36,44.68,71670,1722,DRV170,1353.8,3.79
SHP00142,Philadelphia,PA,39.952583,-75.165222,Phoenix,AZ,33.448376,-112.074037,2163.47,46.5,50471,354,DRV023,1514.11,15.95
SHP00143,Indianapolis,IN,39.768402,-86.158068,Chicago,IL,41.878113,-87.629799,161.1,3.73,61584,3334,DRV074,104.74,12.3
SHP00144,Boston,MA,42.360082,-71.05888,El Paso,TX,31.761857,-106.485022,2174.47,46.56,40931,1857,DRV093,1573.56,0.08
SHP00145,Columbus,OH,39.961176,-82.998794,Oklahoma City,OK,35.46756,-97.516428,846.2,19.26,49564,1807,DRV169,615.86,11.41
SHP00146,Mesa,AZ,33.415184,-111.831472,San Antonio,TX,29.424122,-98.493628,864.92,18.29,78767,2609,DRV070,641.58,15.42
SHP00147,Fort Worth,TX,32.755489,-97.330766,Atlanta,GA,33.748995,-84.387982,736.86,16.21,61688,2644,DRV133,478.27,35.75
SHP00148,Dallas,TX,32.776664,-96.796988,Virginia Beach,VA,36.852929,-75.977985,1313.13,28.2,44072,346,DRV189,969.04,47.97
SHP00149,Seattle,WA,47.606209,-122.332071,Albuquerque,NM,35.084385,-106.650422,1200,26.21,5483,1266,DRV144,769.75,3.98
SHP00150,New York,NY,40.712776,-74.005974,Denver,CO,39.739235,-104.990251,1660.33,38.89,28012,715,DRV089,1186.84,19.73
SHP00151,Miami,FL,25.761681,-80.191788,Houston,TX,29.760427,-95.369803,1019.76,20.4,18280,563,DRV154,765.68,49.69
SHP00152,Jacksonville,FL,30.332184,-81.655651,Kansas City,MO,39.099728,-94.578567,971.35,20.95,15093,976,DRV088,672.01,39.38
SHP00153,Oklahoma City,OK,35.46756,-97.516428,New York,NY,40.712776,-74.005974,1299.96,29.67,17936,3949,DRV036,888.62,33.08
SHP00154,Omaha,NE,41.256537,-95.997988,Philadelphia,PA,39.952583,-75.165222,1221.93,27.89,38960,206,DRV178,874.14,24.47
SHP00155,Charlotte,NC,35.227085,-80.843124,Salt Lake City,UT,40.760779,-111.891047,1777.36,35.59,59128,2634,DRV050,1197.45,17.97
SHP00156,Orlando,FL,28.538336,-81.379234,El Paso,TX,31.761857,-106.485022,1464.22,31.61,33422,495,DRV085,1054.73,25.99
SHP00157,Salt Lake City,UT,40.760779,-111.891047,Denver,CO,39.739235,-104.990251,373.98,8.81,69400,792,DRV022,280.1,42.76
SHP00158,Columbus,OH,39.961176,-82.998794,Fort Worth,TX,32.755489,-97.330766,952.87,21.77,77196,2050,DRV027,723.24,37.61
SHP00159,Boston,MA,42.360082,-71.05888,Atlanta,GA,33.748995,-84.387982,998.76,20.96,36095,1802,DRV163,743.37,32.79
SHP00160,Kansas City,MO,39.099728,-94.578567,Tucson,AZ,32.221743,-110.926479,1126.78,24.17,33953,3668,DRV105,777.98,25.95
SHP00161,Jacksonville,FL,30.332184,-81.655651,Detroit,MI,42.331429,-83.045753,850.57,18.05,71268,458,DRV120,540.96,9.47
SHP00162,New York,NY,40.712776,-74.005974,Fort Worth,TX,32.755489,-97.330766,1401.79,30.59,46767,1817,DRV030,899.68,30.99
SHP00163,Seattle,WA,47.606209,-122.332071,Philadelphia,PA,39.952583,-75.165222,2424.3,50.45,72037,3728,DRV014,1691.18,43.16
SHP00164,Chicago,IL,41.878113,-87.629799,San Antonio,TX,29.424122,-98.493628,1203.3,24.7,10251,2877,DRV089,793.94,45.49
SHP00165,Colorado Springs,CO,38.833882,-104.821363,Kansas City,MO,39.099728,-94.578567,558.57,11.59,63991,3691,DRV144,418.42,27.07
SHP00166,San Diego,CA,32.715736,-117.161087,Columbus,OH,39.961176,-82.998794,2058.82,48.37,46347,3215,DRV157,1473.84,11.45
SHP00167,El Paso,TX,31.761857,-106.485022,Portland,OR,45.515232,-122.678447,1316.92,27.87,73882,1196,DRV021,995.01,49.2
SHP00168,Indianapolis,IN,39.768402,-86.158068,San Francisco,CA,37.774929,-122.419416,2048.27,41.73,38526,3638,DRV193,1315.59,4.56
SHP00169,Sacramento,CA,38.581572,-121.4944,Baltimore,MD,39.290385,-76.612189,2442.7,49.69,65227,3301,DRV134,1757.26,35.65
SHP00170,Charlotte,NC,35.227085,-80.843124,Los Angeles,CA,34.052235,-118.243683,2159.67,47.3,46705,1020,DRV024,1536.88,9.42
SHP00171,Chicago,IL,41.878113,-87.629799,Los Angeles,CA,34.052235,-118.243683,1718.37,38.57,1100,3246,DRV129,1170.96,46.59
SHP00172,Kansas City,MO,39.099728,-94.578567,Philadelphia,PA,39.952583,-75.165222,1061.79,24.49,78344,1399,DRV160,754.46,6.34
SHP00173,Tucson,AZ,32.221743,-110.926479,Louisville,KY,38.252665,-85.758456,1647.65,38.2,19769,2311,DRV158,1079.42,38.62
SHP00174,Virginia Beach,VA,36.852929,-75.977985,Colorado Springs,CO,38.833882,-104.821363,1505.13,32.39,8872,2792,DRV074,992.85,2.11
SHP00175,Chicago,IL,41.878113,-87.629799,Austin,TX,30.267153,-97.743061,1123.42,24.28,69031,384,DRV032,792.11,37.67
SHP00176,Austin,TX,30.267153,-97.743061,Philadelphia,PA,39.952583,-75.165222,1364.44,27.58,28846,3190,DRV199,878.81,12.57
SHP00177,Detroit,MI,42.331429,-83.045753,El Paso,TX,31.761857,-106.485022,1478.96,30.36,58414,1571,DRV175,1062.45,28.16
SHP00178,Long Beach,CA,33.77005,-118.193739,Memphis,TN,35.149534,-90.04898,1535.91,35.33,64998,3371,DRV092,1119.14,30.3
SHP00179,San Francisco,CA,37.774929,-122.419416,Portland,OR,45.515232,-122.678447,519.52,11.64,9462,805,DRV111,337.65,16.95
SHP00180,Austin,TX,30.267153,-97.743061,San Jose,CA,37.338208,-121.886329,1569.23,33.93,37906,1272,DRV055,1191.79,45.53
SHP00181,San Antonio,TX,29.424122,-98.493628,Washington,DC,38.907192,-77.036871,1338.32,28.3,40872,2264,DRV145,988.88,27.79
SHP00182,Orlando,FL,28.538336,-81.379234,New York,NY,40.712776,-74.005974,970.12,20.09,73875,705,DRV174,703.94,8.07
SHP00183,Denver,CO,39.739235,-104.990251,Philadelphia,PA,39.952583,-75.165222,1597.71,33.21,54854,3242,DRV002,1018.63,40.8
SHP00184,Phoenix,AZ,33.448376,-112.074037,Las Vegas,NV,36.169941,-115.13983,257.31,5.55,7662,1143,DRV087,163.28,42.89
SHP00185,Fort Worth,TX,32.755489,-97.330766,Omaha,NE,41.256537,-95.997988,572.73,12.31,56839,3218,DRV179,422.34,17.71
SHP00186,Milwaukee,WI,43.038902,-87.906474,Austin,TX,30.267153,-97.743061,1041.72,22.37,49036,448,DRV144,762.49,3.12
SHP00187,San Francisco,CA,37.774929,-122.419416,New York,NY,40.712776,-74.005974,2651.23,61.91,6735,1775,DRV083,2033.09,10.47
SHP00188,Los Angeles,CA,34.052235,-118.243683,Las Vegas,NV,36.169941,-115.13983,253.26,5.06,18289,3360,DRV039,180.88,28.59
